SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584551821s AND time <= 1584551896s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551853000000000,31
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551854000000000,30
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551855000000000,28
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551856000000000,29
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551857000000000,31
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551858000000000,21
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551859000000000,19
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551860000000000,19
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551861000000000,18
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551862000000000,19
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551863000000000,57
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551864000000000,51
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551865000000000,32
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551866000000000,39
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551867000000000,22
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551868000000000,24
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551869000000000,43
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551870000000000,27
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551871000000000,30
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551872000000000,48
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551873000000000,38
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551874000000000,24
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551875000000000,27
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551876000000000,23
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551877000000000,33
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551878000000000,39
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551879000000000,16
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551880000000000,16
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551881000000000,32
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551882000000000,34
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551883000000000,36
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551884000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551885000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551886000000000,42
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551887000000000,44
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551888000000000,48
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551889000000000,44
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551890000000000,44
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551891000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551892000000000,33
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551893000000000,45
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551894000000000,49
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584551895000000000,63
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551821000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551822000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551823000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551824000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551825000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551827000000000,30
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551828000000000,36
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551829000000000,35
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551830000000000,34
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551831000000000,30
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551832000000000,32
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551833000000000,29
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551834000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551835000000000,26
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551836000000000,31
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551837000000000,32
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551838000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551839000000000,34
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551840000000000,31
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551841000000000,28
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551842000000000,34
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551843000000000,35
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551844000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551845000000000,24
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551846000000000,27
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551847000000000,29
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551848000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551849000000000,37
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551850000000000,40
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551851000000000,43
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551852000000000,43
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551853000000000,44
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551854000000000,49
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551855000000000,48
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551856000000000,45
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551857000000000,48
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551858000000000,73
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551859000000000,56
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551860000000000,44
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551861000000000,30
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551862000000000,26
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551863000000000,38
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551864000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551865000000000,30
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551866000000000,37
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551867000000000,26
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551868000000000,48
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551869000000000,34
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551870000000000,38
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551871000000000,48
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551872000000000,27
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551873000000000,42
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551874000000000,49
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551875000000000,46
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551876000000000,44
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551877000000000,42
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551878000000000,44
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551879000000000,47
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551880000000000,49
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551881000000000,42
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551882000000000,35
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551883000000000,33
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551884000000000,26
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551885000000000,21
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551886000000000,19
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551887000000000,20
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551888000000000,17
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551889000000000,25
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551890000000000,32
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551891000000000,41
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551892000000000,39
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551893000000000,12
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551894000000000,0
kvmtop.domains,UUID=f8d3d4d2-8136-4a7f-bcc9-0d04d76a3307,1584551895000000000,0
